HMeasureID,PrimateID,HMTypeCd,Mean,Range_Lo,Month_Lo,Range_Hi,Month_Hi,CitationID,Comment,OrigIDHabitat,AuthorAddStamp,AuthorEditStamp,AuthorReviewStamp,AuthorIsDupeStamp,AdminReviewStamp
57,9,LTMP,10,,8,,8,149, [Mo. Lo Temp text was: August],3812,,,5/13/2009,,
58,9,ATMP,22.5,,,,,149,,3812,,,5/13/2009,,
59,10,ELEV,200,,,,,178, [Mean Elev text was: species found at approx. 200 m above sea level],3437,,,1/7/2016,,
62,10,ATMP,26,,,,,179,,3437,,,5/15/2009,,
65,10,GRND,2.7,,,,,193,,3437,,,5/15/2009,,
66,10,G5,72.7,,,,,193,,3437,,,5/15/2009,,
67,10,510,19.7,,,,,193,,3437,,,5/15/2009,,
68,10,1020,1.1,,,,,193,,3437,,,5/15/2009,,
69,10,ELEV,,,,343,,190, [Hi Elev text was: 343m],3438,,,1/7/2016,,
70,10,HTMP,37,,10,,11,183, [Mo. Hi Temp text was: October-November],3438,,,5/15/2009,,
71,10,LTMP,16,,6,,7,183, [Mo. Lo Temp text was: June-July],3438,,,5/15/2009,,
72,10,ATMP,27,,,,,183,,3438,,,5/15/2009,,
73,10,WETR,,,11,,4,183,,3438,,5/15/2009,1/7/2016,,
74,10,DRYR,,,5,,10,183,,3438,,5/15/2009,1/7/2016,,
75,10,ANNR,110,110,,160,,183, [Avg. Ann. Rain text was: 110-160],3438,,,1/7/2016,,
76,10,ELEV,,15,,,,192, [Low Elev text was: 15m],3439,,,1/7/2016,,
77,11,ELEV,140,,,,,199,,3707,,,5/11/2009,,
78,11,HTMP,38,,12,,12,204,,3707,,5/27/2009,5/11/2009,,
79,11,LTMP,9,,7,,7,204,,3707,,5/27/2009,5/11/2009,,
80,11,ATMP,25,,,,,204,,3707,,5/27/2009,5/11/2009,,
81,11,WETR,,,11,,3,204, [Lo Mo. Wet text was: November-March],3707,,,5/11/2009,,
82,11,DRYR,,,4,,10,204, [Lo Mo. Dry text was: April-October],3707,,,5/11/2009,,
83,11,ANNR,100,100,,150,,204, [Avg. Ann. Rain text was: 100-150],3707,,,5/11/2009,,
84,11,ELEV,50,,,,,199,,3708,,,5/11/2009,,
85,12,ELEV,,,,,,, [Hi Elev text was: coastal forests],2471,,,5/25/2009,,
86,12,ANNR,800,,,,,,,2471,,,5/25/2009,,
87,12,AFH,10,,,,,208, 0-20 m,2471,,5/25/2009,,,
88,13,ELEV,,,,1260,,220, [Hi Elev text was: 1260 m],2217,,,5/23/2009,,
89,13,ATMP,21,,,,,21311,,2217,,5/23/2009,5/23/2009,,
90,13,ANNR,121,,,,,21311,,2217,,5/23/2009,5/23/2009,,
91,13,G5,28,,,,,21311,,2217,,5/23/2009,5/23/2009,,
92,13,510,44,,,,,21311,,2217,,5/23/2009,5/23/2009,,
93,13,1020,26,,,,,21311,,2217,,5/23/2009,5/23/2009,,
94,13,2030,2,,,,,21311,,2217,,5/23/2009,5/23/2009,,
95,13,ELEV,,810,,,,222, [Low Elev text was: 810 m],2218,,,5/23/2009,,
96,14,ELEV,,0.01,,1000,,225,,3828,,6/9/2009,6/9/2009,,
97,15,ELEV,,0.01,,800,,245, [Hi Elev text was: 800m] [Low Elev text was: 0m],2946,,6/9/2009,6/9/2009,,
98,15,HTMP,37,,11,,11,239, [Mo. Hi Temp text was: november] [Hi Temp text was: 37 degrees celsius highest monthly mean maximum],2946,,6/9/2009,,,
99,15,LTMP,10,,6,,6,239, [Mo. Lo Temp text was: june] [Lo Temp text was: 10 degr celsius lowest monthly mean minimum],2946,,,6/9/2009,,
100,15,ATMP,24.7,,,,,239,,2946,,,6/9/2009,,
101,15,WETR,,,12,,3,239, [Hi Mo. Wet text was: March] [Lo Mo. Wet text was: December to],2946,,,6/9/2009,,
102,15,DRYR,,,4,,11,239, [Hi Mo. Dry text was: November] [Lo Mo. Dry text was: April to],2946,,,6/9/2009,,
103,15,ANNR,79.9,,,,,239, [Avg. Ann. Rain text was: 799mm],2946,,6/12/2009,6/9/2009,,
104,15,GRND,0,,,,,247,,2946,,,,,
105,15,G5,9.47,,,,,247,,2946,,,6/9/2009,,
106,15,510,27.76,,,,,247,,2946,,,6/9/2009,,
107,15,1020,58.42,,,,,247,,2946,,,6/9/2009,,
108,15,2030,4.35,,,,,247,,2946,,,6/9/2009,,
109,15,AFH,20,,,,,247, [Avg. For. Height text was: ~20],2946,,,6/9/2009,,
110,18,ELEV,,,,2600,,259, [Hi Elev text was: 2600 m] [Low Elev text was: sea level],2719,,,5/20/2009,,
111,18,HTMP,43,,12,,2,270, [Mo. Hi Temp text was: December-February] [Hi Temp text was: 43 C],2719,,,5/20/2009,,
112,18,LTMP,9,,7,,8,270, [Mo. Lo Temp text was: July-August] [Lo Temp text was: 9 C],2719,,,5/20/2009,,
113,18,WETR,,,11,,3,271, [Hi Mo. Wet text was: March] [Lo Mo. Wet text was: November],2719,,,5/20/2009,,
114,18,DRYR,,,4,,10,271, [Hi Mo. Dry text was: October] [Lo Mo. Dry text was: April],2719,,,5/20/2009,,
115,18,ANNR,750,,,,,271,,2719,,,5/20/2009,,
116,18,GRND,15,,,,,270,,2719,,,5/20/2009,,
117,18,G5,25,,,,,270,,2719,,,5/20/2009,,
118,18,510,20,,,,,270,,2719,,,5/20/2009,,
119,18,1020,35,,,,,270,,2719,,,5/20/2009,,
120,18,2030,5,,,,,270,,2719,,,5/20/2009,,
121,18,AFH,5,5,,20,,270, [Avg. For. Height text was: 5-20m],2719,,,5/20/2009,,
122,18,ELEV,,,,2600,,260, [Hi Elev text was: 2600 m] [Low Elev text was: sea level],2720,,,5/20/2009,,
123,18,HTMP,48,,12,,1,271, [Mo. Hi Temp text was: December-January] [Hi Temp text was: 48 C],2720,,,5/20/2009,,
124,18,LTMP,3,,6,,8,271, [Mo. Lo Temp text was: June-August] [Lo Temp text was: 3 C],2720,,,5/20/2009,,
125,18,ATMP,25,,,,,271, [Mean Ann. Temp text was: 25 C],2720,,,5/20/2009,,
126,18,WETR,,,12,,2,270, [Hi Mo. Wet text was: February] [Lo Mo. Wet text was: December],2720,,,5/20/2009,,
127,18,DRYR,,,7,,9,270, [Hi Mo. Dry text was: September] [Lo Mo. Dry text was: July],2720,,,5/20/2009,,
128,18,ANNR,300,300,,900,,270, [Avg. Ann. Rain text was: 300-900],2720,,,5/20/2009,,
129,18,GRND,30,30,,35,,267, [Ground text was: 30-35],2720,,,5/20/2009,,
130,18,G5,10,10,,15,,267, [G - 5M text was: 10-15],2720,,,5/20/2009,,
131,18,510,23,,,,,267,,2720,,,5/20/2009,,
132,18,1020,25,,,,,267,,2720,,,5/20/2009,,
133,18,2030,0,0,,10,,267, [30 - 40M text was: 0-10],2720,,,5/20/2009,,
134,18,AFH,0,0,,20,,267, [Avg. For. Height text was: 0-20m],2720,,,5/20/2009,,
135,18,ELEV,,,,2600,,268, [Hi Elev text was: 2600 m] [Low Elev text was: sea level],2721,,,5/20/2009,,
136,18,HTMP,35,,12,,1,259, [Mo. Hi Temp text was: December-January] [Hi Temp text was: 35 C],2721,,,5/20/2009,,
137,18,LTMP,16,,7,,8,259, [Mo. Lo Temp text was: July-August] [Lo Temp text was: -16 C],2721,,5/20/2009,5/20/2009,,
138,18,WETR,,,11,,2,273, [Hi Mo. Wet text was: February] [Lo Mo. Wet text was: November],2721,,,5/20/2009,,
139,18,DRYR,,,7,,9,273, [Hi Mo. Dry text was: September] [Lo Mo. Dry text was: July],2721,,,5/20/2009,,
140,18,ANNR,580.6,,,,,273,,2721,,,5/20/2009,,
141,18,HTMP,43,,12,,2,272, [Mo. Hi Temp text was: December-February] [Hi Temp text was: 43 C],2722,,,5/20/2009,,
142,18,LTMP,9,,7,,8,272, [Mo. Lo Temp text was: July-August] [Lo Temp text was: 9 C],2722,,,5/20/2009,,
143,18,WETR,,,12,,2,272, [Hi Mo. Wet text was: February] [Lo Mo. Wet text was: December],2722,,,5/20/2009,,
144,18,DRYR,,,7,,9,272, [Hi Mo. Dry text was: September] [Lo Mo. Dry text was: July],2722,,,5/20/2009,,
145,18,ANNR,300,300,,900,,272, [Avg. Ann. Rain text was: 300-900],2722,,,5/20/2009,,
146,19,ELEV,,,,1600,,312,,3389,,5/24/2009,5/24/2009,,
147,19,HTMP,35.5,,2,,2,334,,3389,,5/24/2009,5/24/2009,,
148,19,LTMP,15,,7,,7,334,,3389,,5/24/2009,5/24/2009,,
149,19,ATMP,24.8,,,,,334,,3389,,,5/24/2009,,
150,19,WETR,294.57,,10,,5,334,,3389,,5/24/2009,5/24/2009,,
151,19,DRYR,44.07,,5,,10,334,,3389,,5/24/2009,5/24/2009,,
152,19,ANNR,2449,,,,,334,,3389,,5/24/2009,5/24/2009,,
153,19,ELEV,,,,1600,,339,,3390,,,5/24/2009,,
154,19,HTMP,35.5,,2,,2,335,,3390,,5/24/2009,5/24/2009,,
155,19,LTMP,15,,7,,7,335,,3390,,5/24/2009,5/24/2009,,
156,19,ATMP,24.8,,,,,335,,3390,,,5/24/2009,,
157,19,WETR,,,11,,5,336,,3390,,5/24/2009,5/24/2009,,
158,19,DRYR,,,5,,10,336,,3390,,5/24/2009,5/24/2009,,
159,19,ANNR,2356,,,,,336,,3390,,5/24/2009,5/24/2009,,
160,19,ELEV,,,,,,311, [Low Elev text was: sea level],3391,,,5/24/2009,,
161,19,WETR,,,10,,5,338,,3391,,5/24/2009,5/24/2009,,
162,19,DRYR,,,5,,10,338,,3391,,5/24/2009,5/24/2009,,
163,19,ANNR,2449,,,,,338,,3391,,5/24/2009,5/24/2009,,
164,19,ELEV,,,,,,338, [Low Elev text was: sea level],3392,,,5/24/2009,,
165,19,WETR,,,11,,5,341,,3392,,5/24/2009,5/24/2009,,
166,19,DRYR,,,5,,10,341,,3392,,5/24/2009,5/24/2009,,
167,19,ANNR,2356,,,,,341,,3392,,5/24/2009,5/24/2009,,
168,19,ELEV,,,,,,339, [Low Elev text was: sea level],3393,,,5/24/2009,,
169,19,ELEV,287,,,,,339,,3394,,5/24/2009,5/24/2009,,
170,20,ELEV,,9,,1148,,449,,3098,,,5/24/2009,,
171,20,ELEV,297.6,,,,,426,,3099,,,5/24/2009,,
178,21,GRND,0.44,,,,,480,,3093,,,6/5/2009,,
179,21,G5,2.21,1,,3,,480, [G - 5M text was: 2.21 (1 to 3 m)],3093,,,6/5/2009,,
180,21,510,10.95,3,,7,,480, [5 - 10M text was: 10.95 (3 to 7 m)],3093,,,6/5/2009,,
181,21,1020,71.03,5,,15,,480, [10 - 20M text was: 71.03 (5 to 15 m)],3093,,,6/5/2009,,
182,21,2030,15.38,15.38,,15,,480," [30 - 40M text was: 15.38 
(> 15 m)]",3093,,,6/5/2009,,
199,21,HTMP,37,,10,,11,476," [Mo. Hi Temp text was: October, November] [Hi Temp text was: 37 degrees Celsius]",3399,,,6/5/2009,,
200,21,LTMP,11,,7,,8,476," [Mo. Lo Temp text was: July, August] [Lo Temp text was: 11 degrees Celsius]",3399,,,6/5/2009,,
201,21,WETR,,,11,,4,476, [Hi Mo. Wet text was: thru April] [Lo Mo. Wet text was: November],3399,,,6/5/2009,,
202,21,DRYR,,,5,,10,476, [Hi Mo. Dry text was: thru October],3399,,,6/5/2009,,
203,21,ANNR,177.1,,,,,476,,3399,,,6/5/2009,,
209,22,ELEV,,,,1400,,513,,989,,,5/31/2009,,
210,22,HTMP,29.4,,,,,521,November,989,,5/31/2009,5/31/2009,,
211,22,LTMP,14.4,,,,,521,August,989,,5/31/2009,5/31/2009,,
212,22,WETR,,,12,,4,521,,989,,5/31/2009,5/31/2009,,
213,22,DRYR,,,5,,11,521,,989,,5/31/2009,5/31/2009,,
214,22,ANNR,1959,,,,,521,Data collected 1990-1991.,989,,5/31/2009,5/31/2009,,
215,22,ELEV,,800,,,,521,,990,,,5/31/2009,,
216,23,ELEV,,0,,1600,,525, [Hi Elev text was: 1600m] [Low Elev text was: 0m],3395,,,4/10/2009,,
217,23,HTMP,31.6,,,,,536, [Hi Temp text was: 31.6 C],3395,,,4/10/2009,,
218,23,LTMP,19,,,,,536, [Lo Temp text was: 19 C],3395,,,4/10/2009,,
219,23,WETR,190,,2,,8,528," [Hi Mo. Wet text was: Jun, Jul, Aug (190 cm)] [Lo Mo. Wet text was: Jan, Feb, Mar (163 cm)]",3395,,,4/10/2009,,
220,23,DRYR,,,11,,12,528," [Lo Mo. Dry text was: Oct, Nov, Dec (39 cm)]",3395,,,4/10/2009,,
221,23,ANNR,500.9,,,,,528, [Avg. Ann. Rain text was: 500.9 cm],3395,,,4/10/2009,,
222,23,G5,17.16,,,,,535,,3395,,,4/10/2009,,
223,23,510,30.13,,,,,535,,3395,,,4/10/2009,,
224,23,1020,51.3,,,,,535,,3395,,,4/10/2009,,
225,23,2030,1.41,,,,,535,,3395,,,4/10/2009,,
226,23,ELEV,,0,,1670,,532, [Low Elev text was: 0m],3396,,,4/10/2009,,
227,23,WETR,190,,2,,8,537," [Hi Mo. Wet text was: Jun, Jul, Aug (190 cm)] [Lo Mo. Wet text was: Jan, Feb, Mar (163 cm)]",3396,,,4/10/2009,,
228,23,DRYR,,,11,,12,537," [Lo Mo. Dry text was: Oct, Nov, Dec (39 cm)]",3396,,,4/10/2009,,
229,23,ANNR,500.9,,,,,537, [Avg. Ann. Rain text was: 500.9 cm],3396,,,4/10/2009,,
230,23,ELEV,,,,1670,,533, [Low Elev text was: sea level],3397,,,4/10/2009,,
244,24,HTMP,45,,10,,11,573, [Mo. Hi Temp text was: Oct-Nov],3107,,,,,
245,24,LTMP,11,,7,,7,573, [Mo. Lo Temp text was: July],3107,,,,,
246,24,WETR,,,11,,3,573, [Lo Mo. Wet text was: Nov-March],3107,,,,,
247,24,DRYR,,,4,,10,573, [Lo Mo. Dry text was: April-Oct],3107,,,,,
248,24,GRND,0.4,0.4,,1.6,,574, [Ground text was: 0.4-1.6],3107,,,,,
249,24,G5,2.2,2.2,,3.8,,574, [G - 5M text was: 2.2-3.8],3107,,,,,
250,24,510,8,8,,10,,574, [5 - 10M text was: 8-10],3107,,,,,
251,24,1020,85,85,,90,,574, [10 - 20M text was: 85-90],3107,,,,,
252,24,AFH,10,,,,,574, [Avg. For. Height text was: 10 m],3107,,,,,
253,24,HTMP,36.2,,12,,12,575,,3108,,,,,
254,24,LTMP,11.8,,7,,7,575, [Mo. Lo Temp text was: July],3108,,,,,
255,24,GRND,0.4,0.4,,1.6,,575, [Ground text was: 0.4-1.6],3108,,,,,
256,24,G5,2.2,2.2,,3.8,,575, [G - 5M text was: 2.2-3.8],3108,,,,,
257,24,510,8,8,,10,,575, [5 - 10M text was: 8-10],3108,,,,,
258,24,1020,85,85,,90,,575, [10 - 20M text was: 85-90],3108,,,,,
259,24,HTMP,36.2,,12,,12,575,,3109,,,,,
260,24,LTMP,11.8,,7,,7,575, [Mo. Lo Temp text was: July],3109,,,,,
261,26,WETR,,,6,,8,598,In the littoral forest,3277,,6/26/2009,6/25/2009,,
263,26,ELEV,,0,,1500,,594, [Hi Elev text was: around 1500m] [Low Elev text was: 0m],3952,,,6/25/2009,,
264,26,HTMP,30.3,,3,,3,598,In the littoral forest,3952,,6/26/2009,6/25/2009,,
265,26,LTMP,12.3,,7,,7,598,In the littoral forest,3952,,6/26/2009,6/25/2009,,
266,26,ATMP,23,,,,,598,,3952,,,6/25/2009,,
267,26,WETR,,,12,,2,598,In the litoral forest,3952,,6/26/2009,6/25/2009,,
268,26,DRYR,,,3,,5,598,In the littoral forest,3952,,6/26/2009,6/25/2009,,
269,26,ANNR,248,,,,,598,Average annual rainfall in the littoral forest,3952,,6/26/2009,6/25/2009,,
270,26,GRND,1.9,,,,,595,,3952,,,6/25/2009,,
271,26,G5,12.7,,,,,595,,3952,,,6/25/2009,,
272,26,510,68.9,,,,,595,,3952,,,6/25/2009,,
273,26,1020,15.3,,,,,595,,3952,,,6/25/2009,,
274,26,2030,1.2,,,,,595,,3952,,,6/25/2009,,
275,26,ELEV,,0,,1500,,597, [Hi Elev text was: around 1500m] [Low Elev text was: 0m],3953,,,6/25/2009,,
277,26,DRYR,,,9,,11,598,In the littoral forest ,3953,,6/26/2009,6/25/2009,,
278,27,ELEV,,25,,525,,606,,3070,,,4/20/2009,,
279,27,AFH,18.3,,,,,613,,3070,,,4/20/2009,,
280,27,ELEV,,25,,525,,617,,3071,,,4/20/2009,,
281,28,ELEV,33,12,,73,,627,,3404,,5/14/2009,5/14/2009,,
282,28,HTMP,38,,11,,11,630, ,3404,,5/14/2009,5/14/2009,,
283,28,LTMP,15,,6,,6,630,,3404,,5/14/2009,5/14/2009,,
284,28,ATMP,27,,,,,630, ,3404,,5/14/2009,5/14/2009,,
285,28,WETR,116.9,,12,,4,630,,3404,,5/14/2009,5/14/2009,,
286,28,DRYR,2,,5,,11,630,,3404,,5/14/2009,5/14/2009,,
287,28,ANNR,9.9,,,,,630,,3404,,5/14/2009,5/14/2009,,
288,28,GRND,1,,,,,628, < 1%,3404,,5/14/2009,5/14/2009,,
289,28,G5,15,,,,,628, ,3404,,5/14/2009,5/14/2009,,
290,28,510,41,,,,,628, ,3404,,5/14/2009,5/14/2009,,
291,28,1020,20,,,,,628, (10-15m),3404,,5/14/2009,5/14/2009,,
292,28,2030,24,,,,,628, (> 15m),3404,,5/14/2009,5/14/2009,,
293,28,AFH,9.1,,,,,628,n=245 trees,3404,,6/8/2009,5/14/2009,,
294,28,ELEV,552,40,,1000,,639, ,3596,,5/14/2009,5/14/2009,,
295,28,HTMP,37,,10,,11,629,,3596,,5/14/2009,5/14/2009,,
296,28,LTMP,11,,7,,8,629,,3596,,5/14/2009,5/14/2009,,
297,28,ATMP,25,,,,,629,,3596,,5/14/2009,5/14/2009,,
298,28,WETR,157.8,,12,,3,629,,3596,,5/14/2009,5/14/2009,,
299,28,DRYR,19.3,,4,,11,629,,3596,,5/14/2009,5/14/2009,,
300,28,AFH,6.2,,,,,629,n=559 trees,3596,,6/8/2009,5/14/2009,,
301,28,ELEV,118,10,,280,,639, ,3597,,5/14/2009,5/14/2009,,
302,28,HTMP,37,,10,,11,642, ,3597,,5/14/2009,5/14/2009,,
303,28,LTMP,11,,7,,8,642,,3597,,5/14/2009,5/14/2009,,
304,28,ATMP,25,,,,,642,,3597,,5/14/2009,5/14/2009,,
305,28,WETR,157.8,,12,,3,642,,3597,,5/14/2009,5/14/2009,,
306,28,DRYR,19.3,,4,,11,642,,3597,,5/14/2009,5/14/2009,,
307,28,G5,7.5,,,,,644, ,3597,,5/14/2009,5/14/2009,,
308,28,510,48.7,,,,,644, ,3597,,5/14/2009,5/14/2009,,
309,28,1020,43.8,,,,,644, (>10m),3597,,5/14/2009,5/14/2009,,
310,28,ELEV,33,12,,73,,640, ,3598,,5/14/2009,5/14/2009,,
311,28,GRND,1,,,,,630, < 1%,3598,,5/14/2009,5/14/2009,,
312,28,G5,15,,,,,630, ,3598,,5/14/2009,5/14/2009,,
313,28,510,41,,,,,630, ,3598,,5/14/2009,5/14/2009,,
314,28,1020,20,,,,,630, (10-15m),3598,,5/14/2009,5/14/2009,,
315,28,2030,24,,,,,630,(> 15m),3598,,5/14/2009,5/14/2009,,
316,28,AFH,9.1,,,,,630, n=245 trees,3598,,6/8/2009,5/14/2009,,
317,28,ELEV,552,40,,1000,,641,,3599,,5/14/2009,5/14/2009,,
318,28,ELEV,118,10,,280,,641,,3600,,5/14/2009,5/14/2009,,
319,29,ELEV,,,,1400,,657,Lowest Elevation = sea level (0m can not be entered because of software requirements). ,985,,5/31/2009,5/31/2009,,
320,29,HTMP,29.4,,,,,665,November,985,,5/31/2009,5/31/2009,,
321,29,LTMP,14.4,,,,,665,August,985,,5/31/2009,5/31/2009,,
322,29,WETR,,,12,,4,665,,985,,5/31/2009,5/31/2009,,
323,29,DRYR,,,5,,11,665,,985,,5/31/2009,5/31/2009,,
324,29,ANNR,1959,,,,,665,Documented 1990-1991,985,,5/31/2009,5/31/2009,,
325,30,ELEV,,400,,2060,,683,,3102,,,6/12/2009,,
326,30,HTMP,26,,12,,1,689, [Mo. Hi Temp text was: Dec-Jan],3102,,,6/12/2009,,
327,30,LTMP,9.9,,7,,7,689, [Mo. Lo Temp text was: July],3102,,,6/12/2009,,
328,30,ATMP,17.8,,,,,689,,3102,,,6/12/2009,,
329,30,WETR,,,11,,4,689,,3102,,6/12/2009,6/12/2009,,
330,30,DRYR,,,,,,689,,3102,,6/12/2009,6/12/2009,,
331,30,ANNR,1500,,,,,689, [Avg. Ann. Rain rainfall per year was: 1500-4000 mm],3102,,6/12/2009,6/12/2009,,
332,30,GRND,0,,,,,676,,3102,,,6/12/2009,,
333,30,G5,5,,,,,676,,3102,,,6/12/2009,,
334,30,510,15,,,,,676,,3102,,,6/12/2009,,
335,30,1020,25,,,,,676,,3102,,,6/12/2009,,
336,30,2030,75,,,,,676,,3102,,,6/12/2009,,
337,30,AFH,30,30,,35,,676, [Avg. For. Height text was: 30-35m],3102,,,6/12/2009,,
339,31,HTMP,34,,1,,1,700,,981,,5/19/2009,,,
340,31,LTMP,5,,7,,7,700,,981,,5/19/2009,5/19/2009,,
341,31,ATMP,17,,,,,700,,981,,5/19/2009,5/19/2009,,
342,31,WETR,,,12,,3,700,,981,,5/27/2009,5/27/2009,,
343,31,DRYR,,,4,,9,700,,981,,5/27/2009,5/27/2009,,
344,31,ANNR,2183,,,,,700,Data from 2004 to 2005 when there were no cyclones.,981,,5/27/2009,5/27/2009,,
353,31,WETR,280,,12,,3,706,Data from 2005 when there were no cyclones.,982,,5/27/2009,5/27/2009,,
354,31,DRYR,171,,4,,9,706,Data from 2005.,982,,5/27/2009,5/19/2009,,
356,31,GRND,0.3,,,,,706,,982,,5/27/2009,,,
357,31,G5,42.5,,,,,706,,982,,5/27/2009,5/19/2009,,
358,31,510,41.3,,,,,706,,982,,5/27/2009,5/19/2009,,
359,31,1020,15.8,,,,,706,,982,,5/27/2009,5/19/2009,,
360,31,AFH,5.9,,,,,706,,982,,,5/19/2009,,
361,32,ELEV,,0,,1600,,713, [Hi Elev text was: 1600m],582,,2/1/2018,4/1/2009,,
362,34,ELEV,750,,,,,753,,727,,,,,
